       Sort_Method Sequence_Size Prob_Fail SampleSize    Mean Min  Max Median StdDev
126     Merge_Sort          2500     1.75%         50   42.86  30   89   40.5  10.25
127     Merge_Sort          5000     0.25%         50  215.66 141  391  203.5  57.36
128     Merge_Sort          5000      0.5%         50  125.38  77  181  122.5  25.00
129     Merge_Sort          5000     0.75%         50   88.22  57  181   87.0  19.83
130     Merge_Sort          5000        1%         50   73.12  45  136   68.0  15.84
131     Merge_Sort          5000     1.25%         50   57.50  40   81   56.5   9.98
132     Merge_Sort          5000      1.5%         50   49.68  34   91   48.0  10.89
133     Merge_Sort          5000     1.75%         50   43.10  32   62   41.0   6.88
134     Merge_Sort          7500     0.25%         50  223.88 152  454  201.0  58.88
135     Merge_Sort          7500      0.5%         50  129.60  85  237  121.0  32.83
136     Merge_Sort          7500     0.75%         50   92.62  65  147   89.5  18.22
137     Merge_Sort          7500        1%         50   70.46  49  103   69.0  12.42
138     Merge_Sort          7500     1.25%         50   59.04  43  105   56.5  11.60
139     Merge_Sort          7500      1.5%         50   49.24  38   73   47.0   8.75
140     Merge_Sort          7500     1.75%         50   43.76  30   61   43.0   6.74
141     Merge_Sort         10000     0.25%         50  236.02 145  410  233.5  51.01
142     Merge_Sort         10000      0.5%         50  135.12  83  260  127.5  36.33
143     Merge_Sort         10000     0.75%         50   95.60  57  215   92.0  26.47
144     Merge_Sort         10000        1%         50   73.38  51  164   71.0  18.08
145     Merge_Sort         10000     1.25%         50   61.04  44   87   60.0  10.25
146     Merge_Sort         10000      1.5%         50   54.10  35   80   52.5  11.09
147     Merge_Sort         10000     1.75%         50   44.36  31   71   43.0   8.55
148     Quick_Sort           100     0.25%         50   70.26  29  100   71.5  22.46
149     Quick_Sort           100      0.5%         50   54.02  26  100   50.0  20.72
150     Quick_Sort           100     0.75%         50   42.98  20   92   37.5  16.64
151     Quick_Sort           100        1%         50   36.94  19   59   36.0   9.91
152     Quick_Sort           100     1.25%         50   36.98  20   77   34.0  12.14
153     Quick_Sort           100      1.5%         50   30.54  16   57   30.0   8.30
154     Quick_Sort           100     1.75%         50   28.02  13   69   26.5   9.35
155     Quick_Sort           500     0.25%         50  125.40  65  239  117.5  37.29
156     Quick_Sort           500      0.5%         50   82.76  49  135   81.5  21.14
157     Quick_Sort           500     0.75%         50   65.52  42  120   62.5  15.69
158     Quick_Sort           500        1%         50   59.18  34  108   55.5  15.68
159     Quick_Sort           500     1.25%         50   48.42  30   85   47.0  12.68
160     Quick_Sort           500      1.5%         50   46.66  27   75   46.5  11.53
161     Quick_Sort           500     1.75%         50   39.36  25   57   37.5   8.97
162     Quick_Sort          1000     0.25%         50  147.54  88  265  138.0  35.91
163     Quick_Sort          1000      0.5%         50  100.74  51  199   93.0  25.95
164     Quick_Sort          1000     0.75%         50   79.00  50  131   73.0  18.41
165     Quick_Sort          1000        1%         50   65.60  39  122   62.5  18.04
166     Quick_Sort          1000     1.25%         50   56.74  37   88   57.0  11.80
167     Quick_Sort          1000      1.5%         50   47.78  31   75   49.0   9.63
168     Quick_Sort          1000     1.75%         50   45.24  32   68   43.5   9.41
169     Quick_Sort          2500     0.25%         50  188.38 126  311  181.0  39.60
170     Quick_Sort          2500      0.5%         50  126.14  81  201  124.0  25.64
171     Quick_Sort          2500     0.75%         50   94.30  65  152   89.0  21.66
172     Quick_Sort          2500        1%         50   72.64  52  109   71.0  13.14
173     Quick_Sort          2500     1.25%         50   64.62  46  100   64.0  10.74
174     Quick_Sort          2500      1.5%         50   58.30  43   85   57.5   9.44
175     Quick_Sort          2500     1.75%         50   52.30  37   81   49.5  10.58
176     Quick_Sort          5000     0.25%         50  221.28 151  372  221.5  41.94
177     Quick_Sort          5000      0.5%         50  133.82  99  184  132.5  21.52
178     Quick_Sort          5000     0.75%         50  106.28  81  220  103.5  22.84
179     Quick_Sort          5000        1%         50   83.98  59  124   82.5  12.35
180     Quick_Sort          5000     1.25%         50   70.12  52   94   69.0  10.17
181     Quick_Sort          5000      1.5%         50   62.80  48   98   61.0  11.34
182     Quick_Sort          5000     1.75%         50   59.32  45  110   56.0  11.71
183     Quick_Sort          7500     0.25%         50  234.50 173  389  230.0  45.36
184     Quick_Sort          7500      0.5%         50  140.12  91  218  134.0  28.06
185     Quick_Sort          7500     0.75%         50  114.22  83  185  112.5  20.56
186     Quick_Sort          7500        1%         50   88.44  63  132   88.0  15.23
187     Quick_Sort          7500     1.25%         50   73.58  54  101   72.5  11.48
188     Quick_Sort          7500      1.5%         50   67.56  52  112   64.0  11.02
189     Quick_Sort          7500     1.75%         50   60.04  47   78   60.0   7.62
190     Quick_Sort         10000     0.25%         50  244.04 154  403  238.5  48.15
191     Quick_Sort         10000      0.5%         50  147.88 109  208  146.0  23.69
192     Quick_Sort         10000     0.75%         50  112.78  84  153  110.5  17.48
193     Quick_Sort         10000        1%         50   91.10  74  130   89.5  12.03
194     Quick_Sort         10000     1.25%         50   78.32  58  113   74.0  13.58
195     Quick_Sort         10000      1.5%         50   68.06  51   96   65.5  10.39
196     Quick_Sort         10000     1.75%         50   61.70  46   90   60.5   9.40
